accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
2006,,-200,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Alpheus Hyatt Purchasing Fund",http://nrs.harvard.edu/urn-3:HUAM:CARP00123_dynmc,2028317,Creation Place,"East Asia, China",Bronze with incised decoration on the top,http://harvardartmuseums.org/collections/object/173593,173593,Large 'Chunyu' Bronze Bell with Handle in the Form of a Tiger,Asian and Mediterranean Art,-400,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:CARP00123_dynmc,,1,18210566,President and Fellows of Harvard College,CARP00123,H. 45 x Diam. 23.7 cm (17 11/16 x 9 5/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:LEG000878_dynmc,study image: profile,2,43141836,President and Fellows of Harvard College,LEG000878,http://nrs.harvard.edu/urn-3:HUAM:LEG000879_dynmc,study image: top,3,43141837,President and Fellows of Harvard College,LEG000879,http://nrs.harvard.edu/urn-3:HUAM:LEG000880_dynmc,study image: underside,4,43141838,President and Fellows of Harvard College,LEG000880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,600,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP01241_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/174786,174786,"Circular Vessel with Three Hoofed, Cabriole Legs, probably an Ink Palette or perhaps a Stand",Asian and Mediterranean Art,400,Artists' Tools,http://nrs.harvard.edu/urn-3:HUAM:CARP01241_dynmc,,1,18211586,President and Fellows of Harvard College,CARP01241,H. 3.8 x W. (across legs) 12.3 x Diam. 10.2 cm (1 1/2 x 4 13/16 x 4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,-1400,"Harvard Art Museums/Arthur M. Sackler Museum, Shumei Culture Foundation Fund",http://nrs.harvard.edu/urn-3:huam:DDC114320_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze; Zhengzhou phase, Erligang type",http://harvardartmuseums.org/collections/object/200584,200584,'Jue' Ritual Wine Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1600,Vessels,http://nrs.harvard.edu/urn-3:huam:DDC114320_dynmc,,1,44859362,,DDC114320,H. 18.6 x L. 16.6 x W. 6.8 cm (7 5/16 x 6 9/16 x 2 11/16 in.),Chinese,http://nrs.harvard.edu/urn-3:huam:DDC114318_dynmc,,2,44859360,,DDC114318,http://nrs.harvard.edu/urn-3:huam:DDC114319_dynmc,,3,44859361,,DDC114319,http://nrs.harvard.edu/urn-3:huam:DDC114321_dynmc,,4,44859363,,DDC114321,http://nrs.harvard.edu/urn-3:HUAM:VRS11136_dynmc,,5,20668894,President and Fellows of Harvard College,11136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. and Mrs. Milford D. Schulz",http://nrs.harvard.edu/urn-3:HUAM:VRS13332_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/200837,200837,Dagger-axe (Ge) with Curved Haft,Asian and Mediterranean Art,-1300,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS13332_dynmc,,1,20669861,President and Fellows of Harvard College,13332,L. 27.9 x W. 7.5 cm (11 x 2 15/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09277_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201068,201068,"Fragment of an Eight-Lobed Mirror with Relief Decoration of Two Phoenixes, a Qilin, and a Mythical Animal (one of four pieces that form an incomplete mirror)",Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09277_dynmc,,1,18723103,President and Fellows of Harvard College,CARP09277,L. 7.9 cm (3 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09279_dynmc,1984.216.A-D fragments assembled to form incomplete mirror,2,18723105,President and Fellows of Harvard College,CARP09279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,1800,"Harvard Art Museums/Arthur M. Sackler Museum, Museum Collection",http://nrs.harvard.edu/urn-3:HUAM:CARP09259_dynmc,2028317,Creation Place,"East Asia, China",Gilt bronze,http://harvardartmuseums.org/collections/object/202213,202213,Recumbent Animal,Asian and Mediterranean Art,1600,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:CARP09259_dynmc,,1,18723085,President and Fellows of Harvard College,CARP09259,H. 2.9 x W. 5.1 cm (1 1/8 x 2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous Gift",http://nrs.harvard.edu/urn-3:HUAM:51071_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203482,203482,"Circular Mirror with Relief Decoration of Lions, Birds, and Other Animals against a Fruiting Grapevine Arabesque",Asian and Mediterranean Art,675,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:51071_dynmc,,1,17386410,President and Fellows of Harvard College,51071,Diam. 21.2 x Thickness 1.8 cm (8 3/8 x 11/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:VRS46244_dynmc,,2,20681232,President and Fellows of Harvard College,46244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:DDC105455_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina,http://harvardartmuseums.org/collections/object/203867,203867,Large Covered Ritual Wine Container (Fangyi),Asian and Mediterranean Art,-1100,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC105455_dynmc,,1,9060488,President and Fellows of Harvard College,DDC105455,H. 51 x W. 47.8 x D. 29.6 cm (20 1/16 x 18 13/16 x 11 5/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:DDC251158_dynmc,2035859,Creation Place,"East Asia, China, Henan province, Anyang",Cast bronze; with inscription cast on the interior wall,http://harvardartmuseums.org/collections/object/203944,203944,'Liding' Ritual Food Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251158_dynmc,,1,47014808,President and Fellows of Harvard College,DDC251158,"H. 22.4 x W. 17.6 cm (8 13/16 x 6 15/16 in.)
Weight 1936.27 g",Chinese,http://nrs.harvard.edu/urn-3:huam:DDC114289_dynmc,,2,44859331,,DDC114289,http://nrs.harvard.edu/urn-3:huam:DDC114290_dynmc,,3,44859332,,DDC114290,http://nrs.harvard.edu/urn-3:HUAM:DDC251262_dynmc,,4,47014816,President and Fellows of Harvard College,DDC251262,http://nrs.harvard.edu/urn-3:HUAM:DDC251263_dynmc,,5,47014817,President and Fellows of Harvard College,DDC251263,http://nrs.harvard.edu/urn-3:HUAM:DDC251264_dynmc,,6,47014818,President and Fellows of Harvard College,DDC251264,http://nrs.harvard.edu/urn-3:HUAM:VRS46954_dynmc,,7,20681537,President and Fellows of Harvard College,46954,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51151_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina,http://harvardartmuseums.org/collections/object/203982,203982,"Ritual Pouring Vessel (He) with Animal-Head Spout, Openwork Handle, and Anthropomorphic Legs",Asian and Mediterranean Art,-475,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51151_dynmc,,1,17386458,President and Fellows of Harvard College,51151,H. 23.1 x W. 27.7 x Diam. 22.9 cm (9 1/8 x 10 7/8 x 9 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48991_dynmc,,2,43183180,President and Fellows of Harvard College,48991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-475,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51123_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203987,203987,"Ritual Bell (Bo zhong) with Decorative Panels of Interlaced Dragons, Bosses in the Form of Coiled Dragons, and Handle in the Form of Addorsed Felines",Asian and Mediterranean Art,-525,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:51123_dynmc,,1,17386432,President and Fellows of Harvard College,51123,"H. 35.5 x W. 22.5 x D. 16.7 cm (14 x 8 7/8 x 6 9/16 in.)
Weight 15 lb.",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48923_dynmc,,2,43183164,President and Fellows of Harvard College,48923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51320_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina; with inscription cast on the interior,http://harvardartmuseums.org/collections/object/203994,203994,'Jia' Ritual Wine Vessel with a Decorative Band of Dragons against a Leiwen Background,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51320_dynmc,,1,17386613,President and Fellows of Harvard College,51320,"H. 25.7 x W. 19.0 x Diam. 15.4 cm (10 1/8 x 7 1/2 x 6 1/16 in.)
Weight 2523.11 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:VRS48948_dynmc,,2,20682332,President and Fellows of Harvard College,48948,http://nrs.harvard.edu/urn-3:HUAM:51321_dynmc,,3,17386614,President and Fellows of Harvard College,51321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,1644,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09229_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204036,204036,"Miniature ""Zhi"" or ""Zun"" Form Vessel",Asian and Mediterranean Art,1368,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP09229_dynmc,,1,18723056,President and Fellows of Harvard College,CARP09229,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-801,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51602_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204086,204086,Large Chariot Fitting with Decoration of Interlaced Dragons (One of a Pair),Asian and Mediterranean Art,-900,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:51602_dynmc,,1,17387716,President and Fellows of Harvard College,51602,16.5 x 34.3 x 12.4 cm (6 1/2 x 13 1/2 x 4 7/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48979_dynmc,,2,43183174,President and Fellows of Harvard College,48979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-900,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51309_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina; with inscription cast on vessel floor,http://harvardartmuseums.org/collections/object/204093,204093,'Zun' Ritual Wine Vessel with Abstract Decor,Asian and Mediterranean Art,-1100,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51309_dynmc,,1,17386602,President and Fellows of Harvard College,51309,H. 24.9 x Diam. 20.7 cm (9 13/16 x 8 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48872_dynmc,,2,43183143,President and Fellows of Harvard College,48872,http://nrs.harvard.edu/urn-3:HUAM:48873_dynmc,,3,43183144,President and Fellows of Harvard College,48873,http://nrs.harvard.edu/urn-3:HUAM:51308_dynmc,,4,17386601,President and Fellows of Harvard College,51308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,64,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:DDC111105_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with three integrally cast inscriptions (one auspicious and two documentary),http://harvardartmuseums.org/collections/object/204118,204118,"Circular Mirror with Decoration of Concentric Circles, Linked Arcs, Quatrefoil, and Auspicious Four-Character Inscription",Asian and Mediterranean Art,64,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:DDC111105_dynmc,,1,18189186,President and Fellows of Harvard College,DDC111105,Diam. 13.4 cm (5 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09243_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze, the inset gold back with repoussé and ring-punched designs",http://harvardartmuseums.org/collections/object/204233,204233,Small Eight-Pointed Mirror with Relief Decoration of Two Lions and Two Birds against a Floral Arabesque on a Ring-Punched Ground,Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09243_dynmc,,1,18723070,President and Fellows of Harvard College,CARP09243,Diam. 13.3 cm (5 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21089_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204269,204269,"Circular Mirror with Decoration of Four Fantastic, Long-Tailed Creatures against a Patterned Ground",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21089_dynmc,,1,17325113,President and Fellows of Harvard College,21089,"Diam. 16.7 cm (6 9/16 in.)
Weight: 394 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:44486_dynmc,,2,43182656,President and Fellows of Harvard College,44486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS11642_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze inset with silver bosses, the rim inlaid with turquoise",http://harvardartmuseums.org/collections/object/204276,204276,Circular Double-Tier Mirror with Openwork Decoration of Three Dragons Intertwined with Three Snakes,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS11642_dynmc,,1,20669117,President and Fellows of Harvard College,11642,"Diam. 17.1 cm (6 3/4 in.)
Weight 394 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:49237_dynmc,2028317,Creation Place,"East Asia, China",Bronze with gold and silver inlay,http://harvardartmuseums.org/collections/object/204283,204283,Belt Hook with Animal Head,Asian and Mediterranean Art,-475,Jewelry,http://nrs.harvard.edu/urn-3:HUAM:49237_dynmc,,1,43183209,President and Fellows of Harvard College,49237,12 x 1.6 cm (4 3/4 x 5/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49236_dynmc,,2,43183208,President and Fellows of Harvard College,49236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51085_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina; with an inscription cast on both the vessel floor and lid interior,http://harvardartmuseums.org/collections/object/204303,204303,'You' Covered Ritual Wine Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51085_dynmc,,1,17386416,President and Fellows of Harvard College,51085,"H. with handle 21.9 x W. 14.6 x D. 12.7 cm (8 5/8 x 5 3/4 x 5 in.)
Weight 1791.69 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48981_dynmc,,2,43183176,President and Fellows of Harvard College,48981,http://nrs.harvard.edu/urn-3:HUAM:48982_dynmc,,3,43183177,President and Fellows of Harvard College,48982,http://nrs.harvard.edu/urn-3:HUAM:48983_dynmc,"detail, rubbing of inscription",4,43183178,President and Fellows of Harvard College,48983,http://nrs.harvard.edu/urn-3:HUAM:51086_dynmc,detail of inscription,5,17386417,President and Fellows of Harvard College,51086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV215887_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204308,204308,Small Circular Double-Tier Mirror with Openwork Decoration of Intertwined Dragons,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:INV215887_dynmc,,1,13565641,President and Fellows of Harvard College,INV215887,"Diam. 10.9 cm (4 5/16 in.)
Weight: 184 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV215889_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with remains of turquoise inlay,http://harvardartmuseums.org/collections/object/204310,204310,"Square Double-Tier Mirror with Openwork Decoration of Intertwined Snake-Dragons, the Border with Geometric Designs",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:INV215889_dynmc,,1,13565643,President and Fellows of Harvard College,INV215889,"H. 12.5 x W. 12.3 cm (4 15/16 x 4 13/16 in.)
Weight: 226 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51167_dynmc,2035492,Creation Place,"East Asia, China, Inner Mongolia (Nei Menggu)","Cast bronze, Ordos Type.  From Inner Mongolia.",http://harvardartmuseums.org/collections/object/204315,204315,Plaque Representing a Tiger Walking over a Contorted Deer (one of a pair),Asian and Mediterranean Art,-600,Plaques,http://nrs.harvard.edu/urn-3:HUAM:51167_dynmc,1943.52.105.A (left) and 1943.52.105.B (right),1,17386474,President and Fellows of Harvard College,51167,10 x 15.4 x 5.3 cm (3 15/16 x 6 1/16 x 2 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44483_dynmc,,2,43182653,President and Fellows of Harvard College,44483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,1900,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09230_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with integrally cast intaglio archaistic mark,http://harvardartmuseums.org/collections/object/204322,204322,"Miniature ""Gui""-Form Incense Burner with Ring Handles and with Decoration of Descending Lappets and Striding ""Kui""-Dragons",Asian and Mediterranean Art,1800,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP09230_dynmc,,1,18723057,President and Fellows of Harvard College,CARP09230,H. 7.6 x Diam. 7.6 cm (3 x 3 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51167_dynmc,2035492,Creation Place,"East Asia, China, Inner Mongolia (Nei Menggu)","Cast bronze, Ordos type.  From Inner Mongolia.",http://harvardartmuseums.org/collections/object/204346,204346,Plaque Representing a Tiger Walking over a Contorted Deer (one of a pair),Asian and Mediterranean Art,-600,Plaques,http://nrs.harvard.edu/urn-3:HUAM:51167_dynmc,1943.52.105.A (left) and 1943.52.105.B (right),1,17386474,President and Fellows of Harvard College,51167,12 x 15.5 x 5.2 cm (4 3/4 x 6 1/8 x 2 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44483_dynmc,,2,43182653,President and Fellows of Harvard College,44483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,100,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21098_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze of a silvery appearance with traces of cobalt-blue and green patina,http://harvardartmuseums.org/collections/object/204358,204358,"Circular Mirror with Decoration of ""TLV"" Pattern and Animals of the Four Quadrants",Asian and Mediterranean Art,-100,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21098_dynmc,,1,17325122,President and Fellows of Harvard College,21098,Diam. 23.8 cm (9 3/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48852_dynmc,,2,43183138,President and Fellows of Harvard College,48852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-401,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48853_dynmc,2028317,Creation Place,"East Asia, China",Bronze with greenish patina,http://harvardartmuseums.org/collections/object/204360,204360,Ritual Bell (Bo zhong) with Liyu-Style Dragon Decor and with Handle in the Form of Confronting Dragons,Asian and Mediterranean Art,-600,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:VRS48853_dynmc,,1,20682318,President and Fellows of Harvard College,48853,48.2 x 36.3 cm (19 x 14 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-300,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:DDC251335_dynmc,2035838,Creation Place,"East Asia, China, Shaanxi province, Xi‘an","Bronze with openwork decoration and with inlays of turquoise and malachite. Reportedly unearthed in 1911 in the vicinity of Xi'an, Shaanxi province",http://harvardartmuseums.org/collections/object/204391,204391,Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,Asian and Mediterranean Art,-500,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251335_dynmc,,1,47459179,President and Fellows of Harvard College,DDC251335,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251446_dynmc,,2,47459201,President and Fellows of Harvard College,DDC251446,http://nrs.harvard.edu/urn-3:HUAM:DDC251447_dynmc,,3,47459202,President and Fellows of Harvard College,DDC251447,http://nrs.harvard.edu/urn-3:HUAM:DDC251448_dynmc,,4,47459203,President and Fellows of Harvard College,DDC251448,http://nrs.harvard.edu/urn-3:HUAM:21342_dynmc,,5,17328907,President and Fellows of Harvard College,21342,http://nrs.harvard.edu/urn-3:HUAM:VRS39537_dynmc,,6,20678833,President and Fellows of Harvard College,39537,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21092_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204466,204466,Eight-Lobed Mirror with Relief Decoration of Striding Dragon amid Clouds,Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21092_dynmc,,1,17325116,President and Fellows of Harvard College,21092,Diam. 24.3 cm (9 9/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48840_dynmc,,2,43183131,President and Fellows of Harvard College,48840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV227580_dynmc,2028317,Creation Place,"East Asia, China","Bronze, the hilt inlaid with sheet gold",http://harvardartmuseums.org/collections/object/204473,204473,Sword with Hilt Embellished with Geometric Decor,Asian and Mediterranean Art,-500,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:INV227580_dynmc,,1,22804282,President and Fellows of Harvard College,INV227580,L. 53.7 cm (21 1/8 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
